Date,Price,Title,Link
Thu 12 Sep 15:47:18,R200,1946 Original Rare Mercury Coupe,https://johannesburg.craigslist.org/cto/d/1946-original-rare-mercury-coupe/6959809805.html
Wed 02 Oct 04:39:19,R0,IMPORT USED VEHICLES DIRECTLY FROM JAPAN! GIJC CAN HELP!,https://johannesburg.craigslist.org/ctd/d/import-used-vehicles-directly-from/6990830567.html
Sat 28 Sep 21:45:34,R0,NEW AND Used tires by container all types of tires  (read full descrip,https://johannesburg.craigslist.org/wtd/d/new-and-used-tires-by-container-all/6988565032.html
Wed 25 Sep 15:51:20,R149900,AUDI,https://johannesburg.craigslist.org/ctd/d/audi/6986121759.html
Wed 25 Sep 15:04:27,R125900,VOLKSWAGEN,https://johannesburg.craigslist.org/ctd/d/volkswagen/6986110474.html
Wed 25 Sep 15:02:00,R169900,BMW,https://johannesburg.craigslist.org/ctd/d/bmw/6986117604.html
Wed 25 Sep 09:56:20,R299900,toyota hilux 2.8 gd-6,https://johannesburg.craigslist.org/ctd/d/toyota-hilux-28-gd-6/6986065727.html
Fri 30 Aug 09:20:37,R56444,TOYOTA VOXY 2007,https://johannesburg.craigslist.org/ctd/d/toyota-voxy-2007/6946189563.html
Fri 30 Aug 09:20:54,R170441,Mitsubishi Delica D5 Premium G 2008,https://johannesburg.craigslist.org/ctd/d/mitsubishi-delica-d5-premium-2008/6947639496.html
Fri 30 Aug 09:20:49,R86499,Toyota Vitz 2012 / 24000km,https://johannesburg.craigslist.org/ctd/d/toyota-vitz-km/6947673037.html
Fri 30 Aug 09:20:32,R125961,MINI COOPER CONVERTIBLE 2009,https://johannesburg.craigslist.org/ctd/d/mini-cooper-convertible-2009/6946190088.html
Fri 30 Aug 09:20:23,R91396,NISSAN JUKE 2010,https://johannesburg.craigslist.org/ctd/d/nissan-juke-2010/6946190597.html
Fri 30 Aug 09:20:13,R765860,Porsche Cayenne 2012,https://johannesburg.craigslist.org/ctd/d/porsche-cayenne-2012/6946191144.html
Fri 30 Aug 09:20:06,R51783,TOYOTA WISH 2004,https://johannesburg.craigslist.org/ctd/d/toyota-wish-2004/6946192162.html
Sat 05 Oct 00:33:55,R10000,Sandrail,https://pretoria.craigslist.org/snw/d/sandrail/6984159018.html
Fri 06 Sep 16:26:00,R7500,Peg Perego,https://pretoria.craigslist.org/bab/d/peg-perego/6972611415.html
Wed 02 Oct 04:38:47,R0,IMPORT USED VEHICLES DIRECTLY FROM JAPAN! GIJC CAN HELP!,https://durban.craigslist.org/ctd/d/import-used-vehicles-directly-from/6990830379.html
